B cells-B cells	B cells-Monocytes/Macrophage	B cells-CD8 T cells	B cells-CD4 T cells	B cells-Dendritic cells	B cells-T cells	B cells-NK cells	Monocytes/Macrophage-B cells	Monocytes/Macrophage-Monocytes/Macrophage	Monocytes/Macrophage-CD8 T cells	Monocytes/Macrophage-CD4 T cells	Monocytes/Macrophage-Dendritic cells	Monocytes/Macrophage-T cells	Monocytes/Macrophage-NK cells	CD8 T cells-B cells	CD8 T cells-Monocytes/Macrophage	CD8 T cells-CD8 T cells	CD8 T cells-CD4 T cells	CD8 T cells-Dendritic cells	CD8 T cells-T cells	CD8 T cells-NK cells	CD4 T cells-B cells	CD4 T cells-Monocytes/Macrophage	CD4 T cells-CD8 T cells	CD4 T cells-CD4 T cells	CD4 T cells-Dendritic cells	CD4 T cells-T cells	CD4 T cells-NK cells	Dendritic cells-B cells	Dendritic cells-Monocytes/Macrophage	Dendritic cells-CD8 T cells	Dendritic cells-CD4 T cells	Dendritic cells-Dendritic cells	Dendritic cells-T cells	Dendritic cells-NK cells	T cells-B cells	T cells-Monocytes/Macrophage	T cells-CD8 T cells	T cells-CD4 T cells	T cells-Dendritic cells	T cells-T cells	T cells-NK cells	NK cells-B cells	NK cells-Monocytes/Macrophage	NK cells-CD8 T cells	NK cells-CD4 T cells	NK cells-Dendritic cells	NK cells-T cells	NK cells-NK cells
IL24-EPOR	9.34153183728475	6.30712916445526	6.30005611639793	5.78194508232041	6.3881173426465	5.89889584612899	3.1066458315371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6.35335808135481	6.6930977103036	6.14771101965765	6.38219905324442	6.05185535568657	3.41326662194474	4.45669149904914	2.92826315492915	2.54022073884113	2.84256650465147	2.89611418691222	2.60540388065051	1.14058443658881	9.43706667743463	6.26487284550793	5.99647695005648	6.0034555324383	6.25176543337807	5.78515990739992	2.86113024167507	9.3302766313711	6.42584569268864	5.78497597962376	5.93364817698948	6.35879891717003	5.67102438644804	2.72639081958266
ANGPT2-INSR	0.473933861084159	4.41467613960508	0.147783102271828	0.284458522663323	3.77929976402715	0.180051937149734	0.132381977319235	0.0395783838028911	0.480905505166894	0.00251020927406511	0.0209367795631792	0.385367499153145	0.0070251107124688	0	0.546463392192815	5.12800753292893	0.151694521511196	0.328359805237647	4.26572283263617	0.191451615237535	0.131504541433564	1.15343873603981	10	0.366449339190804	0.693129637030347	8.49231720237021	0.427881816570012	0.341313084953327	0.165237770188844	1.54916136084791	0.038293437905158	0.0998799116881533	1.29386729515598	0.0537173408014853	0.0296835252464522	0.387955246825945	3.56758012318964	0.112249891166371	0.238875208281507	3.00867366801412	0.14172272324933	0.0967430585708727	0.219456188368036	2.12996761725754	0.0587835143091168	0.133454997174964	1.78055877036129	0.0767401560061051	0.0493234274833089
WNT11-FZD4	1.88087098514512	1.06487641475139	0	0	0.467399205405911	0	0.671126471554516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5.56675120435732	0	0	2.40735327739782	0	3.25291203897733	0	0	0	0	0	0	0
CSF2-IL2RG	1.77423921118526	0.514037909603444	4.26011183850302	2.74506469358906	0.942853273348224	3.21460080789424	4.64549971416551	0	0	0	0	0	0	0	1.55059431767202	0.453672694587806	3.3181091304914	2.39741655781922	0.80859105461629	2.58976925843024	3.50898625775468	1.75838848749685	0.479388392232109	4.19010112806173	2.70217096631411	0.872092055537795	3.05327286301447	4.72532477717026	0.21370948393876	0.0602546648507538	0.433675800181632	0.340726886132604	0.107920527042461	0.358466458722526	0.430611161298088	2.25575150533864	0.642592780677191	5.10308625266355	3.58707186288308	1.16127228309393	3.96763622442686	5.38441441212349	4.34670124559703	1.28459111170488	9.59509633242428	6.90989758334111	2.30206465182565	7.5803460636852	10
F2-EDNRB	0.354424674059306	0.221180169281285	0	0.496165594733046	0.11557611443626	0.282720377431182	0.343703091183357	0.725028506700693	0.490081610566393	0	1.04075512434958	0.240831693637738	0.505502799187486	0.481593501843394	7.14812932575324	4.50480623915548	0	10	2.2873643424329	5.25622044663993	5.99121776523192	5.29606447702051	3.11003450737903	0	7.36399596464995	1.61180672465238	4.04876282528827	5.27119788596748	1.25797562941901	0.763973631069387	0	1.81475132745759	0.389820514817437	0.928998995493436	0.938799693827895	5.2878062674055	3.24458669680513	0	7.60828273286918	1.67043869226377	4.09481620144803	4.67478866399609	5.40649130800957	3.44159602915969	0	7.77659737348503	1.75705531840498	4.15109848518861	4.60675315904444
PDGFA-IL10RA	1.33593735967474	1.46055616911761	1.86226161416708	2.05609938658015	1.14610437305293	1.5657022816559	1.37794966594593	0.160930676251836	0.227413403170179	0.17392343904073	0.355918826920805	0.119799594394807	0.161771713690002	0.0443921762717933	3.13737164747969	3.44104300884139	3.77889247109207	4.6816693309828	2.67402192246963	3.32914455220466	2.75818953999599	6.82708023433756	6.93858646584902	9.12546293395057	10	5.55847168809481	7.52469804971836	7.20724384691154	1.48170578860306	1.56826149546603	1.7025333651325	2.34506235779622	1.19932907498611	1.5870214206577	1.12216176544136	3.53643242882214	3.76780178207343	4.51043756328186	5.42025202882798	2.9766526483077	3.96248378736631	3.29555016836136	0.0328403357474184	0.0596111373501406	0.0931900330978519	0.165048324814621	0	0.0602620939328478	0.00695227736902827
NGF-MET	0.263710251197081	0	0.0968849927803695	0	0.975966519958899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84343805107142	0	0.882888449336309	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAG1-NOTCH2	1.31270020780611	4.10491692319351	1.15156080591225	1.62026711183601	3.71493035247211	0.96369700340227	2.51866652251915	1.98065565163946	6.70870789132569	1.34385347161375	2.50680653574957	5.70963723143725	1.27092303461708	2.60303579091922	0	0	0	0	0	0	0	0.219130725218337	0.644810054348604	0.190776748496294	0.268646953233639	0.578767260993033	0.154175065018072	0.431524004009135	3.28607353731494	10	2.4363022394718	4.17965599282263	8.83711938163105	2.23337724025773	4.85203154700288	0.715997498142475	2.20146575109021	0.591787314273544	0.90832439466531	1.96294210802063	0.510284261455705	1.25240149681652	0.970897166352586	3.09695002363677	0.783024362719299	1.23130517344232	2.73831963289766	0.686060717027155	1.63681008793065
CXCL12-CX3CR1	0.294406955173658	0.27945852298551	0.23152910623157	0.190476782192159	0.283834082166192	0.238472322226241	0.25869686878763	9.72611991251969	10	5.91587199404533	6.45244598556459	9.55147654334732	6.88596567915657	5.85394681543872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.53861346567312	5.11627941649614	3.68121473866451	3.69264225454759	5.07417985476947	4.15337195235237	3.7452894377744	0.683525136271201	0.637948167483372	0.506459643787007	0.454524063511871	0.63838376295289	0.537489667136939	0.547550971811919	2.34631767910318	2.27184266856667	1.69638749630048	1.55973996736894	2.25439013432083	1.82932594041231	1.81154807199252
FGF21-EPHA2	0	0	0	0	0	0	0	0.481574692962041	2.80906097471182	0	0	1.82375062267702	0	0.075218674838735	0	0	0	0	0	0	0	1.59875128174352	8.10171637524573	0	0	5.54732799077637	0	0.374173863302156	0	0	0	0	0	0	0	1.88856512848525	10	0	0	6.80189951114343	0	0.392604161870568	1.00691448918018	5.53122288174842	0	0	3.73083253539706	0	0.201747661409943
IL20-IFNAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.61006485363188	9.16102142848747	4.52270776451967	5.0326423043237	10	4.83589186400657	2.86379855078313	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL11-CCR8	0.396774859515198	0.370340031859745	0	0.258751284421282	0.361460279198443	0.321550808245997	0.182859633717113	9.89127782045634	10	0	6.61426431604421	9.17874383640866	7.00637177399957	3.12242593511754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51268386009759	4.09897553838277	0	3.03260240583186	3.90660646795555	3.38571363210956	1.60047844992141	0	0	0	0	0	0	0	0.560210477885973	0.533371597983633	0	0.375371246869938	0.50862001358869	0.436989549604155	0.226853179252577
KNG1-EDNRB	2.33126535870829	1.45483569406461	0	3.26358108744567	0.760213979442844	1.85962284893281	2.26074302609823	0.982258011965201	0.663955394921287	0	1.40999981371523	0.326275254592815	0.68484779561602	0.652455829424837	0	0	0	0	0	0	0	7.19183511566775	4.22329740851083	0	10	2.18876644201013	5.49805139047321	7.15806732006818	0.860780003617252	0.522755138920383	0	1.24175828027352	0.266737841582514	0.635675079866676	0.642381287006542	2.08350338312342	1.27843325147909	0	2.99781837912724	0.658186871952004	1.61344099566863	1.84196196007798	2.21376213823507	1.40920877338076	0	3.1842346262936	0.719450437829619	1.69972430085691	1.88629836666508
PDGFD-TEK	0.746590767671205	0	0	0	2.7674058552853	0	0.170198942864334	0.0830002386811234	0	0	0	0.3133891798076	0	0.0129604365656189	2.02764678141142	0	0	0	7.37532813392897	0	0.399511937243569	0.222369904572202	0	0	0	0.769275335769703	0	0.0520291606697876	0.0977465849328787	0	0	0	0.344302483381836	0	0.0171481414912572	0.580397934715446	0	0	0	2.08414035696388	0	0.120622148293865	2.70697331807425	0	0	0	10	0	0.542223282702652
COL4A3-ITGA2B	0	0	0	10	0	0	3.74455321599934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMA4-ITGAV	1.5531041346109	1.88669969799328	0.79260524422264	2.34599406660719	0.874738483536672	0.813026418071728	0.881551601566874	0.41788712461263	0.549860194318536	0.164944171997549	0.647256025311732	0.239745831186188	0.191204624132859	0.162469633102835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.42438365890324	7.59482159558018	2.77089711041659	10	3.4384083136292	3.11347515079745	2.80620797058143	0	0	0	0	0	0	0	1.67169119872333	2.07147838220976	0.784319733080307	2.59450073054636	0.938338418640427	0.842314937375814	0.833725649291928
CCL13-CCR1	0	0	0	0	0	0	0	6.36560210976115	10	3.90226869766646	4.23233242263634	7.33107408663543	4.52665970404392	2.11650860165116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35926308729659	3.32988857190088	1.58039264686619	1.57640598477619	2.53476906361537	1.77700751935191	0.881316898584547	0	0	0	0	0	0	0	0.736045699789587	1.08892094011403	0.536341697379807	0.490372031388972	0.829362257425438	0.576397626441343	0.313934630570188
CSF1-FGFR2	2.30262941527586	0	0	1.58068362849835	0	0	0	0.577718558411349	0	0	0.406656767188117	0	0	0	10	0	0	6.86002673549735	0	0	0	9.69240792410119	0	0	6.60861073636478	0	0	0	0.636753076841062	0	0	0.450437103199805	0	0	0	5.37723625659279	0	0	3.79392232999428	0	0	0	1.9708603889522	0	0	1.39010682546529	0	0	0
WNT2B-FZD7	3.21578525894736	1.82070764724209	0	5.0021461989483	0.797427367985303	1.15783964773765	1.14746121909091	3.36447827086824	2.06329815930598	0	5.36633581554663	0.849838184335944	1.05880119715898	0.822308445381522	2.91484332653967	1.66659421356255	0	4.53095196892634	0.709280658491896	0.967441247575819	0.898937312868116	5.29451847379541	2.82078087693192	0	8.18000161509059	1.22531040958211	1.8269377702484	1.93898304531888	3.59695976750036	1.98185857563353	0	5.76563464463569	0.847594243919033	1.19896584225865	0.987706197522603	6.25492704701829	3.48206629552245	0	10	1.50257863707069	2.1862979120327	2.03469905202718	0.925489435025593	0.534498864608425	0	1.47914998678988	0.228718527648571	0.320735629534393	0.290163235748958
IL24-IL2RG	3.47617207554218	1.00712700737792	8.34660947539198	5.37825856471543	1.84728203473597	6.29819558263078	9.10167934600742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.72120133623886	1.0145088747089	8.86732939142219	5.7184872865655	1.84557061506372	6.46150901154123	10	1.6584246361466	0.467587206657997	3.365403433981	2.64410288090796	0.837483004939687	2.78176520489854	3.34162127639169	3.51172251302449	1.00037948739941	7.94441357435517	5.58430349571336	1.80785250974713	6.17676079117572	8.38238133311986	3.47198378681363	1.02608374961174	7.66420718075282	5.51936998251367	1.83880388729997	6.05489936954168	7.98762921728415
CXCL5-CCR6	0	0	0	0	0	0	0	6.79871073362617	0	4.1309093320594	4.53672821260082	6.30596001085616	4.85115451370762	2.14534833295762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	6.63941852184884	6.70606283504296	8.65283763489025	7.55775968395834	3.54524643871554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL23-XCR1	0.388186874321732	0.362357347265872	0.30496019686871	0.25094750357668	0.366094277880542	0	0	3.44378218996163	3.48195366371424	2.09247176973435	2.28280327423798	3.30827944128427	0	0	10	9.4266569363214	7.00141728949448	6.4602144441201	9.2544560752066	0	0	2.79182709900759	2.4523048100189	2.1766654146761	1.79261956555873	2.4572886297269	0	0	1.42832812475197	1.2975022411458	0.948337372870938	0.951507506140397	1.28005433275067	0	0	5.52049882538018	5.0668279468928	4.08614204737649	3.66799525691052	5.04360748550102	0	0	0.733861607015464	0.698767243277411	0.530026032226884	0.487447231941851	0.689750535638017	0	0
EFNA1-INSR	0.739954089733265	6.76564807853598	0.24124482941682	0.450231918869222	5.79410938446432	0.290586326679729	0.217695340643231	0.169276044508323	1.67645236533265	0.0426845159084971	0.105613098969341	1.35018050613293	0.0581033565131407	0.0341118998261419	0	0	0	0	0	0	0	0.251876213589925	2.16711267102909	0.0814969284089449	0.152221586011022	1.84070685365935	0.0947967538254929	0.0760550545460238	1.12385806697023	10	0.309668672014483	0.70466900739597	8.36260731659136	0.408593751544251	0.254446832235549	0	0	0	0	0	0	0	0.398052938859323	3.71250980228523	0.119309436335959	0.248853497232133	3.10633674661806	0.150461573620611	0.102897574446899
IFNL1-IL2RA	1.28175857037784	0.800430608988668	0.815015901356311	3.26987053027907	0.782483045939357	0.79845617108524	0.298253493754743	0.129160806302245	0.0800841535033753	0.0509608959117237	0.375612676036719	0.0715620587574791	0.0593105973295754	0	1.85785464179298	1.17630967692192	1.05372566616849	4.71824201842134	1.11691766484845	1.06883437071013	0.377777129858013	0.477271603715918	0.273151020096412	0.295100198835079	1.23422421331517	0.264245745467008	0.277954738239089	0.101867617904079	0.538619127379262	0.321125573441398	0.280728196212397	1.44077989583205	0.305584416006031	0.303415178584965	0.0814786424696203	2.52372399357061	1.55843545429241	1.51902752601949	6.57789854927999	1.50117554941483	1.53462478056479	0.550595106929325	3.84634293330994	2.47051916024485	2.26370718130586	10	2.36018834107231	2.32408690630439	0.818164436802301
IL17D-IL7R	0.379269347571978	0.0585082448565816	0.372935466811927	1.41742149761198	0.0645871160509767	1.53851897943358	0.0490538333594028	0.230486368353629	0.0385128499323926	0.175288250711442	0.883257418465485	0.0399813826939441	0.817213773246737	0.0204190954006183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56112350339144	0.403015725739484	2.31524622509155	9.83452073285349	0.434664782895177	10	0.291055407389496
JAG2-NOTCH1	0.669069727239578	1.44583927445968	0.726998044747452	0.890568361778889	1.3747939379184	0.402677673277395	1.59402535868266	0.202131948119301	0.716646361615549	0.0954622941138523	0.342733555381703	0.611311581110666	0	0.370381372920097	3.33328123566287	6.14975563857343	3.11248626120087	4.11517842584525	5.71802562482186	2.17288401048855	5.66267654337935	4.99133081658769	8.42201765424372	5.24544260405321	6.08301754194378	8.00994455983394	3.45889830770488	10	0.202556785993488	0.606176510210842	0.139766905020677	0.346844456616872	0.545584752467565	0.0226829112985791	0.463457951132066	1.35935180374758	2.59737478398198	1.34943034904989	1.78535849600819	2.43931629343126	0.879539093457391	2.60482965952014	1.98215492243977	3.81523206906524	1.91181343057596	2.55992620509737	3.55929165816628	1.31582599488348	3.52740492237509
CGA-TSHR	0.551094447814821	0	0.271291178404147	0.220904709418535	0	0.293988695683323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4.88551647318328	3.98140648674497	0	5.11258457603003	0	0.171497138076368	0	0.0713508380974267	0.0708399121122639	0	0.0846976432882396	0	1.92368853414277	0	0.892230814869864	0.792541670499189	0	0.996242503994893	0	0	0	0	0	0	0	0
FGF7-KDR	1.85731363497646	10	0	0	6.88118343421789	0	0.424315491534096	0.66066136865678	3.8528735196804	0	0	2.49328093991578	0	0.103382873716854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928943041655307	4.86729582624218	0	0	3.27050860381259	0	0.163317960943316	0	0	0	0	0	0	0	1.62655008282262	8.93314407656967	0	0	6.00580341916733	0	0.326505893498332
WNT3A-FZD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5.81543639627927	4.41191425914649	0	2.48162168857793	3.46539742076954	3.13532669825284
IL2-IL27RA	2.66573073747746	2.77506204991131	2.59835776485663	2.72731943272837	3.07823327016329	2.52845993094243	1.98571942321845	0.0522212813639027	0.0658268532663664	0.0258305666452061	0.0574414424432356	0.0708074929367746	0.0339578657940301	0	3.77050080684333	3.96346361730652	3.26990963051479	3.85443887875474	4.26807565118456	3.29350602841141	2.42497745178184	9.30040421378712	9.10217185333265	8.99970079009174	9.44756952550033	10	8.45864103390234	7.14717957650848	0.240434341788448	0.24405934263833	0.188471422883882	0.256341846973544	0.26832219909522	0.204688111042462	0.115457204179871	7.99460804419129	8.17776736561227	7.34135384623542	8.40566317863651	8.92528219836775	7.3652291863004	5.44933069211769	0.122784661493116	0.133647499773738	0.104380500148099	0.13181328220424	0.149070452993081	0.107474381078818	0.0621099134208499
PDGFA-KIT	0.439887233309458	2.36027984251404	0	0	1.6273161219125	0.19374096164412	0.100357946453501	0.110210580538008	0.640525636027121	0	0	0.4153060669388	0.0424266461900598	0.0172226408327382	0.945323359392757	5.1222881578206	0	0	3.43170354324465	0.38380311008601	0.186403478534126	1.98056068508512	10	0	0	6.83808164037792	0.835995917845003	0.463761966932833	0.480786105125957	2.51048685273514	0	0	1.69017159648248	0.196038718383474	0.0844118733016509	1.05728955031015	5.57798946856101	0	0	3.78909395035092	0.452063816851254	0.219903076724404	0.0742717256313816	0.406506785597966	0	0	0.273829269784917	0.031486034897715	0.0148886001469839
IL13-IL6ST	8.79229128393415	8.52873156804803	8.58371346157011	9.42462766379595	10	7.85313005220894	2.18084285800067	0	0	0	0	0	0	0	8.33911521584921	8.16890469808935	7.255657407547	8.93278764154991	9.30714994662205	6.86607752954409	1.7877446811141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.65876648197979	7.30470726831181	7.04473721554095	8.43780282482277	8.43854605399622	6.64087436907261	1.73184129595904	4.45595850669194	4.40905647394806	3.99940147486608	4.90766240233099	5.05085446648301	3.83085950671319	0.971143455006908
WNT7A-FZD4	3.913975957694	2.21594182597843	0	0	0.972628780523652	0	1.39657259587835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5.32757911562122	0	0	2.31923374402961	0	3.66219891313789	1.29426686496947	0.713095897409656	0	0	0.305633614439826	0	0.355394266567429	5.95067217474676	3.31259114955071	0	0	1.43253701625966	0	1.93570131572411	0	0	0	0	0	0	0
CX3CL1-CCR5	1.98995740502653	1.86288653876854	2.53617488129525	1.60840984970661	1.81356892763229	1.98161998814427	0.901151945765251	0.921404248670317	0.934294777503983	0.908253846980704	0.763649254400508	0.85537176892809	0.801977387754639	0.285805446787084	0	0	0	0	0	0	0	4.09595457954181	3.60817391601424	5.18073518931689	3.28825626559839	3.48386226143927	3.90901768705766	1.90373258492033	9.28393343971215	8.45782209931632	10	7.73262874307057	8.04026986807649	8.55891011293455	3.23539630111428	0	0	0	0	0	0	0	1.82254699815003	1.74037768331995	2.13547687569485	1.51357200950447	1.65536895741759	1.74690663705417	0.725191866234769
OSM-IFNLR1	1.64817088238011	0.814262486998232	0.927186643422367	0.785249235155482	0.827833656444513	0.815994051982266	0	8.32177050603206	5.41728009666773	4.06245169804144	4.97895835053658	5.11736780662722	4.27089742035928	0.973531789897754	2.54930577100151	1.39291711878913	1.30621506166602	1.33174699272441	1.3566556812071	1.22557417116902	0.120557376519062	3.98673627526555	2.10032512558001	2.47648136334917	2.18817623533898	2.10470830249202	2.15273247647149	0.617122252840635	10	5.82534496387882	5.44403426330427	6.05768461550562	5.7371944093159	5.52255065805121	1.4862277302411	3.99659152711968	2.22543552698179	2.32934573529686	2.28967136395149	2.21165618923477	2.1937255707065	0.488664863796382	4.65045233609539	2.74365351731006	2.66370459910273	2.69716190611454	2.69988738347555	2.56172363374415	0.595222062406223
VEGFC-EGFR	0	0	0	0	10	0	1.81500351111985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.41028020373194	0	1.08919339734022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
