B cells-B cells	B cells-Monocytes/Macrophage	B cells-CD8 T cells	B cells-CD4 T cells	B cells-Dendritic cells	B cells-T cells	B cells-NK cells	Monocytes/Macrophage-B cells	Monocytes/Macrophage-Monocytes/Macrophage	Monocytes/Macrophage-CD8 T cells	Monocytes/Macrophage-CD4 T cells	Monocytes/Macrophage-Dendritic cells	Monocytes/Macrophage-T cells	Monocytes/Macrophage-NK cells	CD8 T cells-B cells	CD8 T cells-Monocytes/Macrophage	CD8 T cells-CD8 T cells	CD8 T cells-CD4 T cells	CD8 T cells-Dendritic cells	CD8 T cells-T cells	CD8 T cells-NK cells	CD4 T cells-B cells	CD4 T cells-Monocytes/Macrophage	CD4 T cells-CD8 T cells	CD4 T cells-CD4 T cells	CD4 T cells-Dendritic cells	CD4 T cells-T cells	CD4 T cells-NK cells	Dendritic cells-B cells	Dendritic cells-Monocytes/Macrophage	Dendritic cells-CD8 T cells	Dendritic cells-CD4 T cells	Dendritic cells-Dendritic cells	Dendritic cells-T cells	Dendritic cells-NK cells	T cells-B cells	T cells-Monocytes/Macrophage	T cells-CD8 T cells	T cells-CD4 T cells	T cells-Dendritic cells	T cells-T cells	T cells-NK cells	NK cells-B cells	NK cells-Monocytes/Macrophage	NK cells-CD8 T cells	NK cells-CD4 T cells	NK cells-Dendritic cells	NK cells-T cells	NK cells-NK cells
IL24-EPOR	0.0010829852822242	0.000731199997727295	0.000730380002989817	0.000670314198554577	0.000740589143591486	0.000683872569724929	0.0003601606001287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115932301156615	0.000736559422443437	0.000775946219421565	0.000712718285354789	0.000739903022682192	0.000701605517651727	0.000395707853943119	0.000516674501029889	0.000339480285943065	0.000294493635699608	0.00032954527607496	0.000335753182101052	0.000302050467326188	0.000132230578397162	0.0010940608560834	0.000726301125433322	0.000695185371652645	0.000695994414766982	0.0007247815529829	0.000670686900623861	0.000331697412826172	0.00108168044030264	0.000744963078030714	0.000670665577453523	0.000687901487412142	0.00073719019105971	0.0006574549070362	0.000316076761566487
ANGPT2-INSR	0.000150784840931778	0.0013786763036747	4.91598921256612e-05	9.17464329355581e-05	0.00118070009207289	5.92145021607317e-05	4.43610728907675e-05	1.5444505367008e-05	0.000152957127685249	3.89447447777826e-06	9.63598882875677e-06	0.000123188547641036	5.30126754860612e-06	3.11232118799765e-06	0.000173384236109301	0.00160094243174477	5.03786468555523e-05	0.000105425584289934	0.00133226410996913	6.27665150589926e-05	4.40876736281482e-05	0.000362511002116672	0.00311900109532978	0.000117293859415628	0.000219083806692781	0.00264922390491965	0.000136435536078987	0.000109461682175375	5.45985725075617e-05	0.000485813770548019	1.50441305171954e-05	3.42337907471366e-05	0.00040626697920857	1.98500471060073e-05	1.23613774972351e-05	0.000123994861033434	0.0011147306068578	3.80881387663908e-05	7.75431791785106e-05	0.000940581571910117	4.72715454293366e-05	3.325638220571e-05	7.14924285631885e-05	0.000666786539977826	2.14286104220357e-05	4.46954139430571e-05	0.000557914629614843	2.70237002505289e-05	1.84809525877415e-05
WNT11-FZD4	0.00135603113453588	0.000767732387941759	0	0	0.000336975730814864	0	0.000483854766130554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00720959143527466	0.00401340018052394	0	0	0.00173560335704077	0	0.00234521667759128	0	0	0	0	0	0	0
CSF2-IL2RG	0.000923239326568492	0.000267483668775375	0.0022167826976716	0.00142841600113384	0.000490621115603347	0.00167274281075334	0.00241732230955213	0	0	0	0	0	0	0	0.000806863947433617	0.00023607215441595	0.0017266041804302	0.00124751455970052	0.000420756714216989	0.00134760680016967	0.0018259285947036	0.000914991277843469	0.000249453519919368	0.00218035207391303	0.00140609591282011	0.000453799959433078	0.00158879454591481	0.00245885990884944	0.000111205410628431	3.1353988711735e-05	0.000225666613151487	0.000177299914754279	5.61572949585741e-05	0.000186530840859553	0.000224071904207404	0.00117379803555545	0.000334378206923891	0.00265543106342614	0.00186656105341546	0.000604277165022227	0.00206459071179108	0.00280182238363095	0.00226184017661213	0.000668447087297771	0.00499288383463769	0.00359561954852715	0.00119789744554728	0.00394449268783639	0.00520357864231698
F2-EDNRB	8.52339261998429e-05	5.31905806936998e-05	0	0.000119320534882685	2.77943572480408e-05	6.79900964827546e-05	8.26555430609723e-05	0.000174358702302336	0.000117857426088587	0	0.000250286314564195	5.79164835421907e-05	0.00012156599535322	0.000115816160664861	0.00171902006832695	0.00108333970695426	0	0.00240485306013375	0.000550077513854058	0.00126404378258396	0.00144079983766456	0.00127362568642284	0.000747917600219201	0	0.0017709328230401	0.000387615833412443	0.000973667967015026	0.00126764563666394	0.000302524654198199	0.000183724432453871	0	0.000436421028321816	9.37461057961626e-05	0.000223410607717357	0.000225767531655464	0.00127163970835645	0.000780275424668106	0	0.00182968020125032	0.000401715960085635	0.000984743127273753	0.00112421798240895	0.00130018171666533	0.000827653274246883	0	0.00187015739910535	0.00042254598592905	0.000998278189502239	0.00110785644318088
PDGFA-IL10RA	0.0004514577531992	0.000487342278967394	0.000603015101220677	0.000658831527088515	0.000396794522740348	0.000517619557346747	0.000463555378699795	0.000113109491026001	0.000132253480106836	0.000116850813328649	0.000169257173293665	0.000101265617911093	0.000113351671397943	7.95517253546992e-05	0.000970188556433828	0.00105763203980976	0.00115491725532502	0.00141487576107955	0.000836764996851266	0.00102541039471017	0.00086100142675679	0.00203265612015199	0.00206476482232846	0.00269448537031219	0.00294631210515416	0.00166735479629151	0.00223353819071823	0.00214212587846961	0.000493432403474329	0.000518356494044559	0.000557020660301087	0.000742039665835903	0.000412120806120557	0.000523758495732422	0.000389900145209089	0.0010850998363215	0.00115172364340034	0.0013655688321507	0.00162755384692595	0.000923908824722306	0.00120778316978137	0.00101573674642159	7.62253228571932e-05	8.39340910940497e-05	9.36032795184393e-05	0.000114295185758732	6.67688059827916e-05	8.41215368606283e-05	6.87707443539882e-05
NGF-MET	5.66453350981172e-05	0	2.08110335381738e-05	0	0.000209638989446411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000610774516737713	0	0.000189645688174392	0	0.00214801414965791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAG1-NOTCH2	0.000129090027872467	0.00040367468282406	0.000113243690865636	0.000159335943868948	0.000365323673976083	9.47692948397751e-05	0.000247683918734832	0.000194776302887324	0.000659729680493341	0.000132153618225642	0.000246517615862669	0.000561481764811887	0.00012498168964007	0.000255980734065992	0	0	0	0	0	0	0	2.15491635164935e-05	6.34101734678801e-05	1.87608531135713e-05	2.6418555032259e-05	5.6915570980314e-05	1.51614689493231e-05	4.24357712247771e-05	0.000323150192252894	0.00098339306343382	0.000239584272272485	0.000411024471088136	0.000869036190063254	0.000219628768610042	0.000477145416688469	7.0410697310928e-05	0.000216490614900924	5.81959539884733e-05	8.93239909061589e-05	0.000193034365294965	5.0181000309499e-05	0.00012316029446035	9.54773538698684e-05	0.000304551917104561	7.70020726797846e-05	0.000121085696653335	0.00026928445324562	6.74667350218937e-05	0.000160962768662951
CXCL12-CX3CR1	3.55249267837707e-05	3.37211583955447e-05	2.79377046046239e-05	2.29840824833548e-05	3.42491398742435e-05	2.87755151098448e-05	3.12159314220358e-05	0.00117361255130209	0.00120666058187437	0.000713844954262901	0.00077859122274543	0.00115253902435548	0.000830902335317799	0.000706372687057889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000668322654726634	0.000617361269774109	0.000444197671856142	0.000445576585152627	0.000612281281609132	0.000501171021676618	0.000451929313227278	8.24782838658764e-05	7.69786906981172e-05	6.11124888467915e-05	5.48456270953136e-05	7.70312522863883e-05	6.48567594498919e-05	6.60708174252445e-05	0.000283120905592876	0.000274134299637967	0.000204696392337034	0.000188207673659811	0.000272028371125141	0.000220737550369579	0.000218592365064388
FGF21-EPHA2	0	0	0	0	0	0	0	0.000117030798097153	0.000682649343037642	0	0	0.000443202257139571	0	1.82794106020046e-05	0	0	0	0	0	0	0	0.000388523610554509	0.00196885415120126	0	0	0.00134809455636908	0	9.09305793873975e-05	0	0	0	0	0	0	0	0.000458953278640211	0.00243016918886097	0	0	0.00165297666177093	0	9.5409453759644e-05	0.000244697256742335	0.00134418074239478	0	0	0.0009066554276322	0	4.90280950683198e-05
